pin,address,billing_city,current_delq,prior_years,state_description,neighborhood,council_district,ward,tact,public_works_division,pli_division,police_zone,fire_zone,longitude,latitude
0045N00181000000,1400 HALSEY PL,"PITTSBURGH, PA",409.8,20,Residential,Marshall-Shadeland,1,27,42003270400,1,27,1,1-9,-80.03013611,40.46443639
0045N00182000000,2409 MCCOOK ST,"PITTSBURGH, PA",284.01,0,Residential,Marshall-Shadeland,1,27,42003270400,1,27,1,1-9,-80.03023921,40.46455495
0045N00197000000,0 COLORADO ST,",",7.62,18,Residential,Marshall-Shadeland,1,27,42003270400,1,27,1,1-9,-80.03149515,40.46489741
0045N00215000000,0 COLORADO ST,"PITTSBURGH, PA",287.82,20,Residential,Marshall-Shadeland,1,27,42003270400,1,27,1,1-9,-80.03103786,40.46386825
0045N00219000000,2351 ATMORE ST,"FRISCO, TX",383.12,0,Residential,Marshall-Shadeland,1,27,42003270400,1,27,1,1-9,-80.03086608,40.46363019
0045N00221000000,2342 COLORADO ST,"PITTSBURGH, PA",531.78,20,Residential,Marshall-Shadeland,1,27,42003270400,1,27,1,1-9,-80.03092359,40.4634845
0045N00223000000,2343 ATMORE ST,"PITTSBURGH, PA",459.36,7,Residential,Marshall-Shadeland,1,27,42003270400,1,27,1,1-9,-80.0308782,40.46336398
0045N00224000000,2341 ATMORE ST,"SEWICKLEY, PA",499.39,13,Residential,Marshall-Shadeland,1,27,42003270400,1,27,1,1-9,-80.03085702,40.46329983
0045N00228000000,2329 ATMORE ST,"ROSEVILLE, MI",190.26,8,Residential,Marshall-Shadeland,1,27,42003270400,1,27,1,1-9,-80.03077391,40.46304087
0045N00229000000,2325 ATMORE ST,"PITTSBURGH, PA",592.78,20,Residential,Marshall-Shadeland,1,27,42003270400,1,27,1,1-9,-80.03075357,40.46297204
0045N00231000000,2320 COLORADO ST,"PITTSBURGH, PA",329.75,20,Residential,Marshall-Shadeland,1,27,42003270400,1,27,1,1-9,-80.03081322,40.46284881
0045N00231000A00,2318 COLORADO ST,"LINESVILLE, PA",17.62,10,Residential,Marshall-Shadeland,1,27,42003270400,1,27,1,1-9,-80.03080244,40.46281546
0045N00238000000,2317 ATMORE ST,"COPPELL, TX",444.11,0,Residential,Marshall-Shadeland,1,27,42003270400,1,27,1,1-9,-80.03062092,40.46286738
0045N00258000000,0 COLORADO ST,",",9.54,16,Residential,Marshall-Shadeland,1,27,42003270400,1,27,1,1-9,-80.03104763,40.46353025
0045N00259000000,0 COLORADO ST,"PITTSBURGH, PA",9.54,14,Residential,Marshall-Shadeland,1,27,42003270400,1,27,1,1-9,-80.03104879,40.46360115
0045N00285000000,1413 HALSEY PL,"PITTSBURGH, PA",289.73,9,Residential,Marshall-Shadeland,1,27,42003270400,1,27,1,1-9,-80.03151338,40.46383076
0045N00301000000,0 CALIFORNIA AVE,"PITTSBURGH, PA",3.81,16,Residential,Marshall-Shadeland,1,27,42003270400,1,27,1,1-9,-80.03121384,40.46303326
0045N00304000000,2332 CALIFORNIA AVE,"ASPEN, CO",324.04,3,Residential,Marshall-Shadeland,1,27,42003270400,1,27,1,1-9,-80.03129373,40.46320282
0045N00305000000,2334 CALIFORNIA AVE,"PITTSBURGH, PA",1397.11,15,Residential,Marshall-Shadeland,1,27,42003270400,1,27,1,1-9,-80.03132147,40.46329935
0045N00309000000,2342 CALIFORNIA AVE,"PITTSBURGH, PA",739.55,2,Residential,Marshall-Shadeland,1,27,42003270400,1,27,1,1-9,-80.03148316,40.46356851
0045N00311000000,0 COLORADO ST,"PITTSBURGH, PA",9.54,17,Residential,Marshall-Shadeland,1,27,42003270400,1,27,1,1-9,-80.03137816,40.46367517
0045N00311000A00,2349 COLORADO ST,"PITTSBURGH, PA",249.69,10,Residential,Marshall-Shadeland,1,27,42003270400,1,27,1,1-9,-80.03140373,40.46371932
